mvar1,mvar2,mvar3,mvar4,mvar5,mvar6,mvar7,mvar8,mvar9,mvar10,mvar13,mvar14,mvar15,mvar17,mvar21,mvar22,mvar23,mvar24,mvar25,mvar26,mvar31,party_voted_pastCentaur,party_voted_pastCosmos,party_voted_pastEbony,party_voted_pastOdyssey,actual_vote
0,0,0,16,0,0,0,0,12,0,0,2,0,0,0,0,0,15,0,1,8,0,0,0,1,Odyssey
0,3,0,0,1,0,1,0,0,1,0,0,0,2,0,15,0,0,15,1,6,0,0,1,0,Ebony
2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,6,1,0,0,0,Centaur
1,2,6,0,0,1,1,0,0,0,2,0,0,1,15,15,15,0,0,1,7,0,0,0,0,Tokugawa
0,0,0,0,6,0,0,0,0,6,0,0,0,0,0,0,0,0,5,3,6,0,1,0,0,Cosmos
0,0,0,0,11,0,0,0,0,7,0,0,2,0,0,0,0,0,15,3,7,0,1,0,0,Cosmos
6,7,0,0,0,1,0,0,0,0,0,0,0,4,2,1,0,0,0,3,6,1,0,0,0,Cosmos
9,2,1,0,6,0,1,0,0,2,0,0,2,1,13,0,15,0,12,4,9,1,0,0,0,Centaur
0,2,0,0,3,0,2,0,0,1,0,0,0,0,0,15,0,0,3,1,10,0,1,0,0,Cosmos
1,5,0,0,0,1,2,0,0,0,0,0,0,2,15,15,0,0,0,1,7,0,0,1,0,Ebony
0,0,0,18,0,0,0,0,12,0,0,3,0,0,0,0,0,15,0,1,7,0,0,0,1,Odyssey
4,0,0,0,2,2,0,0,0,2,0,0,0,0,15,0,0,0,15,3,6,1,0,0,0,Cosmos
2,4,0,0,2,2,1,0,0,2,0,0,0,2,15,9,0,0,12,1,8,0,1,0,0,Ebony
0,0,0,5,0,0,0,0,1,0,0,1,0,0,0,0,0,15,0,2,6,0,0,0,1,Odyssey
2,4,0,1,0,2,2,0,1,0,0,0,0,2,15,12,0,15,0,1,8,0,0,1,0,Ebony
0,0,0,7,4,0,0,0,7,4,0,0,0,0,0,0,0,15,15,3,6,0,0,0,1,Odyssey
1,0,0,2,0,1,0,0,2,0,0,0,0,0,15,0,0,15,0,1,9,0,0,0,1,Cosmos
5,1,0,2,0,3,1,0,0,0,0,1,0,0,15,7,0,15,15,3,6,1,0,0,0,Centaur
0,1,5,8,0,0,1,0,5,0,1,1,0,0,0,15,15,15,0,4,8,0,0,0,1,Odyssey
0,2,0,1,5,0,0,0,1,0,0,0,1,0,15,15,0,15,15,2,10,0,1,0,0,Cosmos
0,21,0,0,0,0,6,0,0,0,0,0,0,8,0,14,0,0,0,4,8,0,0,1,0,Ebony
2,2,4,1,5,0,0,0,1,0,1,0,2,0,0,7,15,15,10,2,7,0,1,0,0,Tokugawa
9,1,8,0,1,0,0,4,0,1,2,0,0,1,15,15,15,0,15,3,7,0,0,0,0,Centaur
3,0,0,0,0,2,0,0,0,0,0,0,0,0,15,0,0,0,0,3,5,1,0,0,0,Centaur
2,1,0,0,1,2,1,0,0,1,0,0,0,0,0,7,0,0,15,3,7,1,0,0,0,Odyssey
2,20,0,0,2,1,14,0,0,1,0,0,0,2,0,4,0,0,0,3,5,0,0,1,0,Ebony
2,7,10,0,0,0,3,2,0,0,3,0,0,1,10,12,15,0,0,1,7,0,0,1,0,Tokugawa
0,6,0,6,0,0,2,0,4,0,0,1,0,1,0,15,0,15,0,3,7,0,0,0,1,Odyssey
2,2,0,14,0,0,0,0,1,0,0,5,0,0,15,15,0,15,0,2,8,0,0,0,1,Odyssey
2,4,0,0,0,2,0,0,0,0,0,0,0,1,15,15,15,0,0,4,9,0,0,1,0,Ebony
0,8,0,15,0,0,3,0,9,0,0,3,0,3,0,15,0,15,0,3,5,0,0,1,0,Ebony
6,0,1,0,0,4,0,0,0,0,0,0,0,0,15,0,15,0,0,1,5,1,0,0,0,Centaur
2,0,0,0,1,2,0,0,0,1,0,0,0,0,15,0,0,0,15,1,4,1,0,0,0,Cosmos
0,0,9,0,0,0,0,3,0,0,1,0,0,0,0,15,15,0,0,2,8,0,0,0,0,Tokugawa
0,0,1,0,6,0,0,1,0,6,0,0,0,0,0,0,15,0,15,4,7,0,1,0,0,Cosmos
12,3,0,0,6,1,0,0,0,0,0,0,2,0,15,15,0,0,15,3,6,1,0,0,0,Centaur
0,0,0,0,3,0,0,0,0,3,0,0,0,0,0,0,0,0,15,3,8,0,1,0,0,Ebony
0,0,2,0,2,0,0,2,0,0,0,0,1,0,15,0,15,0,7,1,7,0,1,0,0,Cosmos
0,0,0,0,2,0,0,0,0,2,0,0,0,0,0,0,0,0,15,4,0,0,1,0,0,Cosmos
4,1,1,0,1,1,0,1,0,1,0,0,0,1,15,0,15,0,7,3,4,1,0,0,0,Centaur
0,0,0,10,5,0,0,0,7,3,0,1,1,0,0,0,0,15,15,3,8,0,0,0,1,Odyssey
0,4,6,0,0,0,3,2,0,0,1,0,0,1,0,15,15,0,0,1,6,0,0,0,0,Tokugawa
1,3,0,2,1,1,1,0,1,1,0,0,0,0,7,15,0,15,15,3,7,0,0,1,0,Cosmos
0,0,0,11,0,0,0,0,8,0,0,0,0,0,0,0,0,15,0,3,7,0,0,0,1,Odyssey
9,0,0,9,0,9,0,0,9,0,0,0,0,0,15,0,0,15,0,1,4,0,0,0,1,Centaur
8,1,0,0,3,2,1,0,0,1,0,0,1,0,4,15,0,0,9,2,8,1,0,0,0,Cosmos
6,0,0,6,21,3,0,0,4,7,0,1,6,0,15,0,0,15,15,1,5,0,1,0,0,Cosmos
0,10,0,0,0,0,2,0,0,0,0,0,0,4,0,15,0,0,0,3,6,0,0,1,0,Ebony
0,0,0,12,0,0,0,0,12,0,0,0,0,0,0,0,0,15,0,3,7,0,0,0,1,Odyssey
0,0,0,3,21,0,0,0,0,16,0,1,2,0,0,0,0,15,3,1,6,0,1,0,0,Cosmos
4,0,0,2,0,4,0,0,2,0,0,0,0,0,15,0,0,15,0,4,5,1,0,0,0,Centaur
0,7,0,0,3,0,2,0,0,1,0,0,1,2,0,12,0,0,15,1,8,0,0,1,0,Ebony
0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,15,0,15,15,3,7,0,0,0,1,Ebony
0,10,0,0,0,0,8,0,0,0,0,0,0,2,0,15,0,0,0,3,6,0,0,1,0,Ebony
2,2,0,17,0,2,0,0,4,0,0,5,0,1,0,0,0,15,0,3,8,0,0,0,1,Odyssey
10,4,0,0,1,8,3,0,0,1,0,0,0,1,0,3,0,0,15,1,6,0,0,1,0,Centaur
0,1,0,1,0,0,1,0,1,0,0,0,0,0,15,15,0,15,0,1,7,0,0,1,0,Ebony
0,1,2,0,2,0,0,1,0,0,0,0,1,1,0,15,15,0,15,1,6,0,1,0,0,Cosmos
0,6,0,0,0,0,3,0,0,0,0,0,0,3,0,15,0,0,0,3,8,0,0,1,0,Ebony
1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,15,0,0,0,4,7,1,0,0,0,Centaur
0,4,0,0,10,0,0,0,0,1,0,0,3,2,0,11,0,0,0,2,8,0,1,0,0,Cosmos
18,0,0,0,0,5,0,0,0,0,0,0,0,0,15,0,0,0,0,4,0,1,0,0,0,Centaur
0,0,0,0,6,0,0,0,0,1,0,0,2,0,0,0,0,0,12,2,9,0,1,0,0,Cosmos
3,0,0,0,0,3,0,0,0,0,0,0,0,0,15,0,0,0,0,4,10,1,0,0,0,Centaur
0,0,0,5,1,0,0,0,1,1,0,1,0,0,0,0,0,15,0,4,6,0,0,0,1,Centaur
0,17,0,0,4,0,12,0,0,0,0,0,1,3,0,15,0,0,15,3,7,0,0,1,0,Ebony
2,0,0,0,6,2,0,0,0,2,0,0,1,0,5,0,0,0,4,4,7,0,1,0,0,Cosmos
0,0,0,0,4,0,0,0,0,4,0,0,0,0,0,0,0,0,15,1,7,0,1,0,0,Cosmos
0,10,0,0,0,0,2,0,0,0,0,0,0,4,0,15,0,0,0,1,8,0,0,1,0,Ebony
1,0,0,7,0,1,0,0,5,0,0,1,0,0,15,15,0,15,0,1,7,0,0,0,1,Odyssey
0,0,0,6,0,0,0,0,2,0,0,2,0,0,0,0,0,15,0,1,6,0,0,0,1,Tokugawa
0,0,0,11,0,0,0,0,5,0,0,3,0,0,0,0,0,15,0,3,8,0,0,0,1,Odyssey
0,0,0,0,17,0,0,0,0,9,0,0,4,0,0,0,0,0,0,3,5,0,1,0,0,Cosmos
0,7,0,0,0,0,5,0,0,0,0,0,0,2,0,15,0,0,0,4,7,0,0,1,0,Ebony
0,1,2,0,0,0,1,0,0,0,0,0,0,0,0,15,15,0,0,3,6,0,0,0,0,Tokugawa
0,5,0,0,0,0,2,0,0,0,0,0,0,1,0,11,0,0,0,1,6,0,0,1,0,Ebony
0,0,0,0,6,0,0,0,0,6,0,0,0,0,0,0,0,0,15,1,5,0,1,0,0,Cosmos
0,0,0,7,5,0,0,0,6,3,0,0,1,0,0,0,0,15,15,1,5,0,0,0,1,Odyssey
9,0,0,0,0,7,0,0,0,0,0,0,0,0,13,0,0,0,15,4,10,1,0,0,0,Centaur
0,2,1,0,0,0,2,0,0,0,0,0,0,0,15,0,7,0,0,3,5,0,0,1,0,Ebony
0,1,0,0,21,0,0,0,0,17,0,0,2,1,0,15,0,0,15,3,6,0,1,0,0,Cosmos
2,0,0,0,4,2,0,0,0,4,0,0,0,0,15,0,0,0,7,3,7,0,1,0,0,Cosmos
0,0,0,6,0,0,0,0,1,0,0,2,0,0,0,0,0,15,0,2,10,0,0,0,1,Odyssey
3,0,0,0,0,3,0,0,0,0,0,0,0,0,15,0,0,0,0,4,8,1,0,0,0,Centaur
11,0,0,8,0,10,0,0,8,0,0,0,0,0,15,0,0,15,0,4,8,1,0,0,0,Centaur
0,3,0,0,0,0,3,0,0,0,0,0,0,0,15,15,0,0,0,1,5,0,0,1,0,Ebony
4,0,0,0,0,4,0,0,0,0,0,0,0,0,15,0,0,0,0,1,5,1,0,0,0,Centaur
0,0,0,3,9,0,0,0,1,1,0,1,2,0,0,0,0,15,15,2,7,0,1,0,0,Cosmos
1,0,0,6,0,1,0,0,2,0,0,1,0,0,15,0,0,15,0,4,6,0,0,0,1,Ebony
0,3,8,0,5,0,0,3,0,0,1,0,2,0,0,15,15,0,15,2,8,0,0,0,0,Cosmos
0,0,0,0,16,0,0,0,0,10,0,0,3,0,0,0,0,0,15,3,7,0,1,0,0,Cosmos
0,12,0,0,0,0,11,0,0,0,0,0,0,1,0,10,0,0,15,3,6,0,0,1,0,Ebony
9,0,3,0,0,0,0,1,0,0,0,0,0,0,15,0,15,0,0,4,9,1,0,0,0,Tokugawa
5,2,0,10,2,3,2,0,9,2,0,0,0,0,15,15,0,15,15,1,8,0,0,0,1,Odyssey
2,1,0,1,0,1,1,0,0,0,0,0,0,0,15,15,0,15,0,4,5,0,0,0,1,Odyssey
3,3,3,0,0,3,0,1,0,0,0,0,0,1,15,15,15,0,0,1,7,1,0,0,0,Tokugawa
0,0,0,0,18,0,0,0,0,12,0,0,3,0,0,0,0,0,1,3,6,0,1,0,0,Cosmos
0,0,0,0,3,0,0,0,0,3,0,0,0,0,0,0,0,0,15,3,8,0,1,0,0,Cosmos
0,2,0,0,5,0,0,0,0,5,0,0,0,1,0,15,0,0,15,4,8,0,1,0,0,Cosmos
0,0,17,0,0,0,0,7,0,0,1,0,0,0,0,0,15,0,0,1,7,0,0,0,0,Tokugawa
0,5,0,4,0,0,2,0,2,0,0,1,0,2,0,15,0,15,0,1,7,0,0,1,0,Ebony
0,0,0,13,0,0,0,0,6,0,0,2,0,0,0,0,0,15,0,4,7,0,0,0,1,Odyssey
0,0,7,0,2,0,0,5,0,2,1,0,0,0,0,0,15,0,15,3,7,0,0,0,0,Tokugawa
0,0,0,0,17,0,0,0,0,3,0,0,6,0,0,0,0,0,12,1,7,0,1,0,0,Cosmos
0,11,0,0,0,0,5,0,0,0,0,0,0,2,0,15,0,0,0,1,9,0,0,1,0,Ebony
0,0,0,0,4,0,0,0,0,4,0,0,0,0,0,0,0,0,15,3,7,0,1,0,0,Cosmos
4,7,0,0,0,2,5,0,0,0,0,0,0,0,15,15,0,0,0,4,5,0,0,1,0,Ebony
3,7,0,0,0,2,2,0,0,0,0,0,0,3,15,15,0,0,0,3,6,0,0,1,0,Ebony
0,0,0,2,4,0,0,0,1,2,0,0,1,0,0,0,0,15,15,1,6,0,1,0,0,Cosmos
0,0,0,7,0,0,0,0,4,0,0,1,0,0,0,0,0,15,0,1,8,0,0,0,1,Odyssey
0,7,0,0,1,0,3,0,0,1,0,0,0,3,0,15,0,0,15,4,6,0,0,1,0,Ebony
12,0,0,10,0,6,0,0,4,0,0,2,0,0,15,0,0,15,0,1,8,1,0,0,0,Centaur
2,12,0,0,0,2,0,0,0,0,0,0,0,1,15,15,0,0,15,5,7,1,0,0,0,Ebony
0,0,0,11,0,0,0,0,4,0,0,2,0,0,0,0,0,15,0,1,7,0,0,0,1,Odyssey
1,2,0,0,1,1,0,0,0,1,0,0,0,2,15,15,0,0,15,1,8,0,0,1,0,Cosmos
0,2,8,0,0,0,0,6,0,0,1,0,0,0,0,15,15,0,0,3,7,0,0,0,0,Odyssey
5,0,8,0,0,0,0,3,0,0,1,0,0,0,15,0,15,0,0,1,8,1,0,0,0,Tokugawa
0,0,0,11,0,0,0,0,6,0,0,2,0,0,0,0,0,15,0,3,6,0,0,0,1,Cosmos
0,0,0,3,0,0,0,0,3,0,0,0,0,0,0,0,0,15,0,4,7,0,0,0,1,Odyssey
0,1,0,0,8,0,1,0,0,8,0,0,0,0,0,0,0,0,15,3,6,0,1,0,0,Cosmos
6,0,0,0,0,4,0,0,0,0,0,0,0,0,15,0,0,0,0,4,8,1,0,0,0,Centaur
1,0,0,0,0,1,0,0,0,0,0,0,0,0,7,15,0,0,15,4,4,1,0,0,0,Ebony
0,2,7,0,1,0,0,2,0,1,1,0,0,1,0,15,11,0,15,3,5,0,0,0,0,Tokugawa
9,0,0,0,0,5,0,0,0,0,0,0,0,0,15,0,0,0,0,3,5,1,0,0,0,Centaur
4,0,0,0,0,4,0,0,0,0,0,0,0,0,15,0,0,0,0,1,9,1,0,0,0,Centaur
0,3,0,8,0,0,1,0,0,0,0,3,0,1,0,15,0,15,0,3,9,0,0,0,1,Ebony
9,0,0,2,0,8,0,0,1,0,0,0,0,0,13,0,0,15,0,3,5,1,0,0,0,Centaur
1,0,0,1,4,1,0,0,0,4,0,0,0,0,0,0,0,15,10,1,6,0,1,0,0,Centaur
0,0,2,3,7,0,0,2,0,0,0,1,3,0,0,0,15,15,11,2,8,0,1,0,0,Cosmos
4,0,0,6,0,2,0,0,6,0,0,0,0,0,15,0,0,15,0,3,6,1,0,0,0,Odyssey
5,0,0,0,0,5,0,0,0,0,0,0,0,0,15,0,0,0,0,3,7,1,0,0,0,Centaur
0,10,0,0,0,0,9,0,0,0,0,0,0,1,0,15,0,0,0,3,6,0,0,1,0,Ebony
0,0,0,1,0,0,0,0,1,0,0,0,0,0,15,0,0,15,0,1,8,1,0,0,0,Centaur
3,2,3,0,0,1,0,1,0,0,0,0,0,1,15,15,15,0,0,3,5,0,0,1,0,Tokugawa
0,0,0,0,4,0,0,0,0,3,0,0,0,0,0,0,0,0,9,1,3,0,1,0,0,Odyssey
0,1,0,3,0,0,1,0,2,0,0,0,0,0,0,15,0,15,0,3,7,0,0,0,1,Odyssey
0,1,0,0,12,0,0,0,0,6,0,0,3,1,0,15,0,0,15,4,5,0,1,0,0,Cosmos
0,0,0,0,3,0,0,0,0,3,0,0,0,0,0,0,0,0,15,4,2,0,1,0,0,Odyssey
7,5,0,0,2,5,4,0,0,2,0,0,0,1,1,3,0,0,0,1,3,0,0,1,0,Cosmos
17,0,0,0,0,13,0,0,0,0,0,0,0,0,15,0,0,0,0,1,6,1,0,0,0,Centaur
0,2,6,18,0,0,2,4,5,0,0,3,0,0,0,15,15,15,0,1,8,0,0,0,1,Odyssey
0,0,0,8,0,0,0,0,8,0,0,0,0,0,0,0,0,15,0,4,6,0,0,0,1,Odyssey
0,13,0,0,0,0,13,0,0,0,0,0,0,0,0,15,0,0,0,4,6,0,0,1,0,Ebony
0,11,0,0,0,0,5,0,0,0,0,0,0,2,0,12,0,0,0,3,6,0,0,1,0,Ebony
3,7,3,0,1,3,2,0,0,1,0,0,0,1,0,8,3,0,7,4,6,0,0,1,0,Ebony
0,0,0,0,3,0,0,0,0,1,0,0,1,0,0,0,0,0,13,3,8,0,1,0,0,Tokugawa
0,0,0,0,12,0,0,0,0,4,0,0,3,0,0,0,0,0,15,4,7,0,1,0,0,Cosmos
1,1,2,1,0,1,1,2,1,0,0,0,0,0,15,15,15,15,0,4,8,1,0,0,0,Ebony
0,0,0,10,0,0,0,0,8,0,0,0,0,0,0,0,0,15,0,3,7,0,0,0,1,Odyssey
3,1,2,0,2,1,1,0,0,0,1,0,1,0,15,15,0,0,15,3,8,0,1,0,0,Cosmos
6,0,0,0,0,4,0,0,0,0,0,0,0,0,15,0,0,0,0,3,8,1,0,0,0,Centaur
1,1,0,2,7,1,1,0,0,3,0,1,2,0,15,15,0,15,15,4,6,0,1,0,0,Cosmos
1,1,0,0,0,1,0,0,0,0,0,0,0,1,15,15,0,0,0,1,7,1,0,0,0,Cosmos
0,10,0,3,11,0,5,0,3,9,0,0,1,2,0,15,0,15,15,3,6,0,1,0,0,Ebony
0,0,10,0,0,0,0,3,0,0,2,0,0,0,0,0,15,0,0,1,8,0,0,0,0,Tokugawa
4,9,0,0,0,2,2,0,0,0,0,0,0,2,3,8,0,0,15,1,7,0,0,1,0,Cosmos
0,18,0,0,0,0,4,0,0,0,0,0,0,9,0,15,0,0,0,1,7,0,0,1,0,Ebony
0,7,0,0,0,0,1,0,0,0,0,0,0,3,0,15,0,0,0,4,8,0,0,1,0,Ebony
0,3,0,0,0,0,3,0,0,0,0,0,0,0,0,15,0,0,0,4,6,0,0,1,0,Ebony
0,4,0,12,0,0,2,0,5,0,0,2,0,2,0,15,0,15,0,1,8,0,0,0,1,Odyssey
0,3,0,0,0,0,3,0,0,0,0,0,0,0,0,15,0,0,0,1,10,0,0,1,0,Ebony
0,0,1,2,0,0,0,1,0,0,0,1,0,0,0,0,15,15,0,4,7,0,0,0,0,Tokugawa
0,5,0,0,0,0,1,0,0,0,0,0,0,4,0,15,0,0,0,1,8,0,0,1,0,Ebony
0,0,0,0,3,0,0,0,0,1,0,0,1,0,0,0,0,0,15,4,6,0,1,0,0,Cosmos
0,7,0,0,0,0,2,0,0,0,0,0,0,3,0,5,0,0,0,3,7,0,0,1,0,Ebony
0,0,0,6,0,0,0,0,2,0,0,2,0,0,0,0,0,15,0,1,5,0,0,0,1,Odyssey
0,0,0,9,0,0,0,0,4,0,0,2,0,0,0,0,0,15,0,4,6,0,0,0,1,Odyssey
5,1,12,0,0,1,1,2,0,0,3,0,0,0,5,15,12,0,0,2,6,0,0,0,0,Tokugawa
0,17,0,0,0,0,4,0,0,0,0,0,0,2,0,8,0,0,0,3,7,0,0,1,0,Ebony
2,0,0,0,1,2,0,0,0,1,0,0,0,0,7,0,0,0,15,4,6,1,0,0,0,Odyssey
0,0,0,13,0,0,0,0,8,0,0,2,0,0,0,0,0,15,0,3,7,0,0,0,1,Odyssey
7,0,0,0,0,1,0,0,0,0,0,0,0,0,13,0,0,0,0,2,7,1,0,0,0,Centaur
2,8,0,13,3,2,5,0,7,0,0,3,1,1,15,15,0,15,0,3,7,0,0,0,1,Odyssey
0,0,0,2,1,0,0,0,2,1,0,0,0,0,0,0,0,15,15,4,7,0,0,0,1,Odyssey
9,0,0,0,0,7,0,0,0,0,0,0,0,0,15,0,0,0,0,3,6,1,0,0,0,Centaur
12,0,0,0,0,8,0,0,0,0,0,0,0,0,15,0,0,0,0,3,5,1,0,0,0,Centaur
0,0,0,0,4,0,0,0,0,4,0,0,0,0,0,0,0,0,15,3,7,0,1,0,0,Cosmos
13,8,5,0,1,3,3,1,0,1,0,0,0,1,1,4,6,0,10,3,7,1,0,0,0,Tokugawa
1,3,0,9,0,0,0,0,5,0,0,2,0,3,15,15,0,15,0,3,8,0,0,0,1,Odyssey
0,0,0,3,0,0,0,0,1,0,0,1,0,0,0,15,0,15,0,1,8,0,0,0,1,Odyssey
0,0,0,0,18,0,0,0,0,8,0,0,2,0,0,0,0,0,13,4,8,0,1,0,0,Cosmos
0,14,0,0,0,0,8,0,0,0,0,0,0,0,0,15,0,0,0,3,4,0,0,1,0,Ebony
0,1,0,0,2,0,0,0,0,2,0,0,0,1,15,15,0,0,15,1,9,0,1,0,0,Ebony
1,0,2,0,0,1,0,0,0,0,1,0,0,0,10,0,0,0,0,3,5,0,0,0,0,Tokugawa
10,1,5,0,0,6,1,4,0,0,0,0,0,0,15,0,15,0,0,3,6,1,0,0,0,Tokugawa
0,0,2,4,0,0,0,0,4,0,0,0,0,0,0,15,15,15,0,4,9,0,0,0,1,Odyssey
0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,15,3,7,0,1,0,0,Tokugawa
0,7,0,0,0,0,3,0,0,0,0,0,0,4,0,15,0,0,0,3,7,0,0,1,0,Ebony
3,0,0,0,3,1,0,0,0,3,0,0,0,0,3,0,0,0,10,3,7,0,1,0,0,Ebony
1,0,1,0,0,1,0,1,0,0,0,0,0,0,15,0,15,0,0,3,6,0,0,0,0,Tokugawa
11,0,0,0,0,9,0,0,0,0,0,0,0,0,15,0,0,0,0,1,6,1,0,0,0,Centaur
0,0,0,3,0,0,0,0,1,0,0,0,0,0,0,0,0,15,0,1,7,0,0,0,1,Odyssey
